True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year
8924.0,8974.819750000006,-50.819750000006024,8924.0,8968.7,44.75,2,36,9
7719.15,7734.547750000005,-15.397750000005544,7719.15,7725.7,-104.0,1,40,9
14929.95,14975.882750000008,-45.93275000000722,14929.95,14946.55,237.29999999999927,2,11,3
7872.1,7872.836249999997,-0.7362499999962893,7872.1,7888.75,25.75,3,52,12
13521.9,13546.620000000004,-24.720000000004802,13521.9,13547.2,-17.299999999999272,1,51,12
8628.05,8656.363750000008,-28.31375000000844,8628.05,8653.15,28.649999999999636,1,44,11
9118.9,9086.0315,32.868500000000495,9118.9,9099.75,53.649999999999636,1,22,5
19642.25,19713.281250000036,-71.03125000003638,19642.25,19674.7,-86.45000000000073,3,46,11
12900.9,12864.656249999989,36.24375000001055,12900.9,12839.5,78.89999999999964,3,47,11
11528.5,11487.552999999998,40.947000000001935,11528.5,11487.8,-20.650000000001455,0,41,10
9356.7,9346.464749999996,10.23525000000518,9356.7,9339.65,-72.80000000000109,2,19,5
7602.55,7621.039250000006,-18.489250000005995,7602.55,7630.4,88.25,3,14,4
8092.9,8034.18275,58.717249999999694,8092.9,8024.15,-101.35000000000036,2,24,6
17809.4,17795.74850000003,13.651499999970838,17809.4,17750.3,-112.20000000000073,2,6,2
8880.0,8885.367,-5.367000000000189,8880.0,8890.75,-12.5,1,8,2
10382.25,10404.818249999993,-22.568249999992986,10382.25,10391.0,33.350000000000364,1,8,2
15825.2,15741.479749999962,83.7202500000385,15825.2,15754.5,-3.399999999999636,0,29,7
7509.6,7531.416749999979,-21.816749999979038,7509.6,7527.45,-44.650000000000546,0,2,1
8517.55,8522.016000000001,-4.466000000002168,8517.55,8515.75,-47.850000000000364,3,28,7
9864.9,9867.131000000001,-2.231000000001586,9864.9,9881.2,15.5,3,34,8
10920.65,10885.66749999999,34.98250000000917,10920.65,10899.65,11.049999999999272,2,3,1
12128.55,12118.550749999977,9.999250000022585,12128.55,12119.0,35.899999999999636,3,8,2
12326.35,12343.710250000004,-17.36025000000336,12326.35,12333.1,-26.94999999999891,1,3,1
18037.6,17939.44699999999,98.15300000000934,18037.6,17968.35,-79.70000000000073,3,44,11
21577.7,21716.320250000026,-138.6202500000254,21577.7,21664.3,-63.70000000000073,1,7,2
17725.4,17676.227500000034,49.17249999996784,17725.4,17706.2,-85.39999999999782,2,5,2
8785.0,8793.55375,-8.553749999999127,8785.0,8785.45,-10.649999999999636,0,6,2
12032.95,12062.859750000034,-29.909750000033455,12032.95,12067.65,66.60000000000036,1,49,12
13952.8,13952.05549999999,0.7445000000097934,13952.8,13910.35,-16.549999999999272,1,53,12
10337.6,10339.802500000013,-2.202500000012151,10337.6,10323.8,-95.65000000000146,2,27,7
11022.05,10977.033249999995,45.01675000000432,11022.05,10997.4,-86.14999999999964,1,4,1
22604.5,22613.16575000001,-8.66575000001103,22604.5,22620.4,170.20000000000073,4,17,4
18680.35,18640.213749999977,40.13625000002139,18680.35,18631.8,-86.85000000000218,1,24,6
14805.85,14705.096250000033,100.75374999996711,14805.85,14747.35,129.8000000000011,4,17,4
11354.7,11367.17875000001,-12.478750000009313,11354.7,11369.6,6.25,0,33,8
19813.35,19852.549249999982,-39.199249999983294,19813.35,19831.7,-138.25,3,29,7
11328.95,11375.45300000001,-46.503000000009706,11328.95,11372.25,43.79999999999927,1,30,7
8652.1,8649.403499999995,2.6965000000054715,8652.1,8639.2,16.600000000000364,2,33,8
15640.8,15700.854499999992,-60.05449999999291,15640.8,15629.65,61.600000000000364,1,22,6
11734.4,11749.785000000002,-15.385000000002037,11734.4,11738.55,61.19999999999891,2,9,2
12033.7,11990.224250000005,43.47574999999597,12033.7,12031.3,-58.45000000000073,4,50,12
8456.15,8484.037500000008,-27.887500000008004,8456.15,8468.05,-25.850000000000364,2,34,8
9067.45,9080.301999999998,-12.851999999997133,9067.45,9091.65,18.299999999999272,1,11,3
