,close,open,gap_open,day_of_week,week_of_year,month_of_year
0,8285.55,8294.1,5.200000000000728,4,2,1
1,8265.6,8291.35,-35.19999999999891,0,3,1
2,8330.95,8346.15,42.350000000000364,1,3,1
3,8300.7,8307.25,19.5,2,3,1
4,8416.9,8425.2,-35.94999999999891,3,3,1
5,8560.65,8553.4,3.100000000000364,0,4,1
6,8584.55,8575.1,-116.14999999999964,1,4,1
7,8716.15,8719.65,-8.399999999999636,2,4,1
8,8741.55,8745.85,-16.350000000000364,3,4,1
9,8851.75,8827.95,4.400000000001455,4,4,1
10,8849.3,8871.35,-32.850000000000364,1,5,1
11,8904.7,8902.75,-4.049999999999272,2,5,1
12,8870.65,8901.5,-48.70000000000073,3,5,1
13,8949.1,8996.6,175.14999999999964,4,5,1
14,8788.1,8802.5,4.350000000000364,0,6,2
15,8817.65,8823.15,76.5,1,6,2
16,8771.5,8789.15,75.19999999999891,2,6,2
17,8730.65,8733.1,33.70000000000073,3,6,2
18,8712.4,8696.85,30.850000000000364,4,6,2
19,8585.4,8584.4,66.10000000000036,0,7,2
20,8546.6,8478.1,-100.75,1,7,2
21,8607.7,8603.3,-32.20000000000073,2,7,2
22,8651.7,8676.95,-51.44999999999891,3,7,2
23,8747.95,8741.5,-61.54999999999927,4,7,2
24,8855.4,8831.4,22.69999999999891,0,8,2
25,8827.35,8811.55,-53.70000000000073,2,8,2
26,8888.1,8883.05,-15.300000000001091,3,8,2
27,8853.95,8895.5,67.79999999999927,4,8,2
28,8853.3,8856.85,114.05000000000109,0,9,2
29,8762.05,8772.9,12.100000000000364,1,9,2
30,8828.35,8802.65,37.399999999999636,2,9,2
31,8756.9,8779.0,84.35000000000036,3,9,2
32,8737.95,8729.5,-121.14999999999964,4,9,2
33,8905.35,8913.05,-7.700000000000728,5,9,2
34,8937.8,8954.6,-6.949999999998909,0,10,3
35,8933.9,8962.85,-33.899999999999636,1,10,3
36,9069.05,9109.15,190.75,2,10,3
37,8943.85,8929.4,-8.350000000000364,3,10,3
38,8829.3,8877.3,134.04999999999927,0,11,3
39,8751.75,8769.75,44.149999999999636,1,11,3
40,8735.55,8728.75,26.950000000000728,2,11,3
41,8769.45,8740.65,-30.75,3,11,3
42,8815.75,8844.05,182.9499999999989,4,11,3
43,8640.25,8641.1,1.5,0,12,3
44,8676.1,8689.1,-33.25,1,12,3
45,8716.75,8742.9,62.0,2,12,3
